#  z        dl        sig_dl
0.13653  585.18071   29.78353
0.20493 1088.42874   78.60859
0.36939 1817.56520  130.43117
0.12924  592.12037   29.65946
0.26658 1307.52500   88.92162
0.27805 1340.66416   85.92650
0.17461  893.55235   54.20380
0.11376  473.60906   23.28691
0.11229  532.34110   25.15714
0.15333  658.38511   31.73534
0.19650  994.44324   63.41572
0.18914 1064.26554   63.16236
0.17708  881.75920   51.70140
0.21731 1014.33170   65.15120
0.18542  827.12281   48.87881
0.16382  715.71480   39.27878
0.25690 1316.40645  101.34920
0.12180  583.61978   36.14221
0.16514  739.28178   36.31573
0.19840  950.91128   57.68325
0.26828 1348.55915  101.02945
0.40078 1918.66874  119.12799
0.14566  609.00380   35.77869
0.05573  230.31912   11.57918
0.22425 1210.57026   85.56198
0.28622 1363.35828   97.86801
0.18365  913.12451   59.49177
0.10360  438.68219   21.32712
0.33096 1803.01774  158.24605
0.21840 1005.51835   65.53456
0.26327 1140.24979   79.51514
0.16267  793.70662   47.63524
0.10689  493.94660   23.78636
0.16503  736.17319   39.28258
0.10757  499.97697   25.02094
0.12913  564.49487   29.71872
0.05948  247.48564   14.39148
0.04093  182.20488    9.78968
0.01705   66.26588    5.59164
0.01531   58.81797    4.36987
0.01472   59.31438    4.07208
0.02673  110.71590    8.24346
0.01732   66.73597    4.87821
0.04437  156.37596   14.26490
0.01567   54.46782    3.86479
0.02477   95.90914    7.58939
0.03800  159.69084    9.69804
0.02990  125.38916    7.10377
0.01012   42.80456    3.90865
0.02580  121.04866    7.67189
0.01038   45.70040    4.31096
0.03791  146.89939   13.53914
0.03507  138.11155   10.67764
0.01268   54.91867    4.32554
0.02525  103.66449    6.34808
0.01908   83.30671    5.41608
0.03489  132.94439   10.20774
0.02950  131.44982    7.71051
0.03416  146.26149   10.52963
0.04067  161.64415    8.39089
0.07515  267.69484   15.38787
0.05581  197.89280   11.19771
0.02529  101.84038    6.59053
0.03501  151.92177    8.73640
0.02846  112.46568    6.94402
0.03280  150.71969    8.69504
0.03378  134.14979    8.66905
0.04597  202.50698    9.56066
0.04341  172.30187    9.59490
0.05684  249.29295   13.81337
0.02024   80.79044    4.73896
0.03191  147.37031    8.67151
0.04150  177.55790   10.29650
0.02639  108.79527    7.01054
0.02651  115.74174    6.65317
0.02689  105.94733    6.14872
0.02349   94.34524    5.81433
0.05067  231.44617   16.84345
0.04093  157.05074    9.38218
0.06877  304.52994   15.50646
0.01754   70.27810    4.34083
0.02557  105.23010    7.25096
0.02189   90.40033    5.75026
0.03155  119.00905    7.73722
0.06845  325.13970   18.68997
0.02249   92.03436    5.89659
0.04949  206.44768   11.92902
0.03161  133.26620    7.74953
0.03434  148.79557    8.56005
0.04486  195.47895   13.32106
0.01531   63.07685    4.43352
0.03048  126.06369    7.79231
0.03837  169.98868   12.96203
0.03682  159.99632    9.32601
0.02210  101.36780    6.39420
0.01402   60.20187    4.49071
0.05890  256.09435   13.44121
0.05895  253.59460   11.73313
0.06888  305.88628   21.28162
0.02040   98.02571    7.04350
0.02894  113.59782    6.88573
0.02384   97.78224    6.01264
0.01451   67.51651    5.21360
0.03292  138.16562    7.54123
0.06455  255.79379   13.38420
0.01663   71.24756    4.93070
0.05359  220.66833   14.62597
0.03163  124.14522    6.83030
0.02751  112.08823    6.66515
0.02559   91.25990    5.29212
0.02401  101.69275    5.91819
0.03713  145.24126    7.87391
0.03408  134.88076    7.73780
0.02454   93.32973    5.49382
0.01697   68.02523    4.79699
0.01629   76.80155    5.34690
0.03184  131.35603    7.33594
0.03700  158.40541    9.28435
0.02932  105.42898    7.07528
0.01740   80.01843    5.47319
0.03578  147.37031   11.95345
0.02845  114.70174    7.20623
0.05035  203.26378   15.29337
0.04269  172.44476    9.29308
0.03212  125.09213    8.24506
0.02752  115.71243    7.59751
0.03049  128.07076    8.37059
0.01724   68.52988    4.91149
0.07063  289.63431   16.39554
0.05344  236.81543   15.24899
0.02878  117.94241    6.60312
0.03518  136.29816    9.56437
0.03348  139.97162    9.82215
0.04651  193.36150   10.35349
0.06119  272.21998   14.92703
0.04714  191.66817   10.87197
0.02120   86.96009    5.75573
0.04028  163.72689    8.54802
0.03863  166.83609    9.79770
0.03314  134.41570    7.56254
0.02414   96.84339    5.75864
0.02837  117.72806    6.59112
0.01043   43.14793    3.98174
0.02038   86.27997    5.63720
0.04710  176.53873   11.76203
0.03984  155.41037    8.20330
0.01220   55.12137    4.41005
0.01271   50.84169    4.09575
0.01763   68.71950    4.94407
0.02171   89.20722    5.59425
0.01572   66.40947    5.93105
0.01972   80.40629    5.84600
0.01678   68.44946    5.02081
0.01226   55.39620    4.53283
0.05322  232.18278   13.69410
0.03055  106.62769   22.14247
0.03001  121.52342    6.73084
0.01506   59.41006    4.22641
0.01530   60.82750    4.07930
0.04713  192.12328   10.18543
0.03411  142.23288    7.52083
0.01520   57.15971    4.30459
0.01504   61.63537    4.23284
0.02763  125.00000    6.78809
0.03359  147.47215    7.20691
0.01447   60.00121    4.57523
0.02547  105.47511    6.03386
0.01082   44.84562    3.80998
0.01741   74.13102    5.11488
0.02031   81.49482    5.07869
0.04819  217.21009   12.18072
0.02223   84.79300    5.15730
0.02811  131.61337    7.56855
0.05458  218.98784   10.26814
0.05721  234.90378   11.83672
0.02091   83.78958    5.27959
0.01454   70.64314    5.38833
0.04310  175.93409    8.65862
0.03273  133.92449    7.43312
0.03399  131.90766    6.74703
0.01382   55.67625    3.94540
0.05092  215.80922   12.16677
0.01752   72.63735    4.90142
0.02482   95.49706    5.93150
0.02880  117.03884    7.33420
0.01568   63.35487    4.45014
0.02197   83.84748    5.54585
0.03426  139.32210    7.71665
0.01698   60.80510    4.36346
0.02752  125.08061    7.72579
0.03438  148.39525    8.27387
0.01318   57.70454    4.59413
0.01726   68.09575    4.73924
0.01209   44.24050    3.90019
0.05418  206.23387   10.81476
0.01970   87.27905    6.34368
0.01662   59.73653    4.04603
0.02398  103.46179    6.44527
0.03144  129.95410    7.22772
0.01291   48.75958    3.85391
0.03827  177.59470    9.82419
0.01532   69.13851    5.22420
0.02643  108.06125    7.09265
0.02020   71.54347    4.99731
0.03730  163.65150    8.67223
0.02348   96.05722    6.14770
0.01635   67.08416    4.69046
0.02275   90.56492    5.68356
0.23027 1129.17174   76.16813
0.38164 2266.47013  147.03841
0.25340 1170.28058   60.61406
0.15269  687.74905   36.69864
0.43673 2624.76242  171.49177
0.10242  479.43529   23.78316
0.37164 1885.77555   92.46122
0.46664 2549.41185  136.74247
0.19602  891.80520   44.77344
0.31156 1578.84683   78.72122
0.03220  139.44405    8.27898
0.10989  511.08131   28.44858
0.22562  987.64302   56.52237
0.26051 1246.03431   70.39171
0.22556 1053.36771   59.58025
0.44758 2343.20346  164.48220
0.44007 2635.78511  205.47671
0.33742 1577.93824  106.14890
0.52851 2620.83693  172.80459
0.57613 3141.81060  210.04917
0.38775 2127.25719  155.64356
0.36001 1719.92694  105.75848
0.34701 1615.25093  104.49263
0.43927 2307.96915  140.32268
0.34923 1665.32883   88.78609
0.43015 2284.96736  132.03060
0.50818 2546.00938  165.76000
0.28845 1401.26411   81.06503
0.17281  887.25816   53.45418
0.31774 1650.97311  115.66265
0.27509 1417.19627   90.21152
0.10293  427.37587   24.26168
0.20584  913.65030   66.34343
0.26460 1255.97212   80.35376
0.23466 1054.09560   94.74853
0.21434  992.68166   79.30640
0.42784 2864.37583  225.14392
0.40214 1998.57293  137.16086
0.32218 1443.94283   93.27748
0.45173 2481.36127  142.46436
0.16139  732.36908   40.53010
0.35161 1827.80558   97.49054
0.24900 1136.13516   60.62475
0.08223  359.65823   20.26004
0.10588  471.34619   21.74277
0.33293 1820.37138  120.52906
0.10227  457.74120   23.31842
0.29282 1405.78854   87.47809
0.13269  572.20283   26.19753
0.27088 1244.08485   68.76306
0.10044  463.59634   23.34978
0.35363 1901.77879  127.49588
0.42353 2343.14951  286.54211
0.30012 1556.57482   85.56898
0.14761  672.18683   35.18709
0.22853 1104.20574   65.58360
0.13880  652.24386   32.20540
0.14343  669.90003   33.37033
0.09201  437.46166   22.95026
0.15680  749.51443   43.30865
0.23851 1227.75016  139.73548
0.14949  759.11924   58.30419
0.50718 2810.21793  181.73185
0.25249 1234.55374   64.39797
0.28397 1297.95609   68.51230
0.23680 1133.65263   64.80011
0.34092 1688.76803  115.51021
0.26388 1155.57996   75.47449
0.34872 1876.03095  115.05490
0.32095 1559.44478   89.42589
0.13523  647.87318   36.28670
0.30666 1683.95313  126.19481
0.23362 1236.20359   91.04632
0.30078 1712.65545  134.41989
0.36783 1770.43505  100.66883
0.16940  796.30602   41.95947
0.07976  329.15465   15.63843
0.18060  845.82399   44.49078
0.18071  830.51982   62.83177
0.23086 1139.27876   80.68059
0.04582  203.47450   11.64944
0.22146 1016.38910   56.03741
0.20073  902.56814   87.90460
0.07550  335.42853   18.48573
0.02627  111.37046    6.98668
0.19141  726.10596   51.88905
0.17770  833.75797   42.37759
0.18542  906.60895   48.81558
0.34931 1802.39511  114.60679
0.27131 1293.86808   64.27382
0.29212 1216.38204   68.68856
0.37051 1617.63301   84.75305
0.09641  411.43383   28.03748
0.18058  803.60013   41.34444
0.27446 1332.53922   93.59955
0.24510 1264.09583   83.90115
0.36135 1704.66875  159.86070
0.23152 1082.35568   74.73010
0.14648  679.53214   34.72652
0.15948  770.92122   63.02782
0.41929 2196.13989  150.77034
0.31894 1524.71966  110.01308
0.51941 2787.34034  251.69859
0.15069  687.85991   34.85111
0.30249 1488.33262  108.48449
0.21073  994.78677   74.36566
0.23943  985.80269   67.11017
0.33180 1590.81618   87.96423
0.20072  988.48481   73.16608
0.36082 1916.10807  125.45582
0.24275 1312.68342   73.34065
0.22146 1033.59405   71.00635
0.12068  529.37082   46.71748
0.34160 1687.36874  131.54145
0.25051 1135.95205   68.88185
0.38054 1908.53443  114.89457
0.31079 1634.82022  104.25260
0.19940  849.88468   55.37158
0.24001 1171.33198   88.64240
0.50275 2686.39580  258.05016
0.37013 1862.38729  116.49136
0.27001 1328.89296   84.00909
0.26312 1343.38347   81.24351
0.26801 1244.37134   95.80327
0.30801 1739.20190   94.68723
0.25001 1334.62729   99.89352
0.28051 1335.79557   68.01782
0.31480 1701.45317   97.84361
0.32840 1890.51444  144.33029
0.32944 1767.58375   96.84303
0.25848 1196.21708   77.60519
0.22448  962.98606   68.24038
0.21079 1081.83244   61.33975
0.38734 2036.47930  173.76494
0.30642 1539.92653  105.89702
0.36491 1955.68993  128.18253
0.24880 1192.72411   87.67925
0.29880 1344.83809  101.74178
0.12365  581.86201   29.02501
0.33159 1598.74795  103.16730
0.38246 1937.26932  162.75666
0.24074 1191.87305   64.75180
0.17144  808.09050   64.44755
0.20880 1051.47754   78.04665
0.28960 1559.55250  118.45260
0.24599 1200.38345   67.39810
0.13659  634.29312   35.94972
0.15062  662.43001   35.40863
0.11870  505.27755   28.95172
0.24494 1149.76742   65.50940
0.35070 1747.67229   86.33388
0.61992 3521.11330  187.48295
0.21986 1038.22146   51.76567
0.09929  485.93704   24.54215
